[CLS] brown coloured whole wood oval shaped coffee table [SEP],366a7129cdbaa0b8fb94cf898f4fa24c,101 2829 11401 2878 3536 9242 5044 4157 2795 102
[CLS] brown coloured whole wood rectangular shaped coffee table [SEP],366a7129cdbaa0b8fb94cf898f4fa24c,101 2829 11401 2878 3536 10806 5044 4157 2795 102
[CLS] a tall grey rectangular shape table with a unique base [SEP],64dedff769355d281bce08795c661fc1,101 1037 4206 4462 10806 4338 2795 2007 1037 4310 2918 102
[CLS] a short grey rectangular shape table with a unique base [SEP],64dedff769355d281bce08795c661fc1,101 1037 2460 4462 10806 4338 2795 2007 1037 4310 2918 102
[CLS] a round wooden coffee table with three legs and a raised edge around the table top [SEP],86b942f68417df36cbde89e0c48a01bf,101 1037 2461 4799 4157 2795 2007 2093 3456 1998 1037 2992 3341 2105 1996 2795 2327 102
[CLS] a round wooden coffee table with four legs and a raised edge around the table top [SEP],86b942f68417df36cbde89e0c48a01bf,101 1037 2461 4799 4157 2795 2007 2176 3456 1998 1037 2992 3341 2105 1996 2795 2327 102
[CLS] a metal table with three curved legs . [SEP],7257fc99c253994c6fd6654fda9ac5f0,101 1037 1010 3384 2795 2007 2093 9203 3456 1012 102
[CLS] a metal table with three straight legs . [SEP],7257fc99c253994c6fd6654fda9ac5f0,101 1037 1010 3384 2795 2007 2093 3442 3456 1012 102
[CLS] a rectangular table with thin white legs . it is black in colour . [SEP],b2867d5067f44e0d6b1cb83d86c19bfc,101 1037 10806 2795 2007 4857 2317 3456 1012 2009 2003 2304 1999 6120 1012 102
[CLS] a rectangular table with thick white legs . it is black in colour . [SEP],b2867d5067f44e0d6b1cb83d86c19bfc,101 1037 10806 2795 2007 4317 2317 3456 1012 2009 2003 2304 1999 6120 1012 102
[CLS] a square shaped glass table with four metal round legs attached . [SEP],fe9d363792ee708b35836c728d324152,101 1037 2675 5044 3221 2795 2007 2176 3384 2461 3456 4987 1012 102
[CLS] a circular shaped glass table with four metal round legs attached . [SEP],fe9d363792ee708b35836c728d324152,101 1037 8206 5044 3221 2795 2007 2176 3384 2461 3456 4987 1012 102
